user_id,email,first_name,last_name
"('oi6IhEzu9R', 'oh4mHXh8zN')",user_2@example.com,Julie,Mosser
"('fQFLNRDae8', 'zSbmdNiSHH')",user_5@example.com,Taryn,Jaycox
"('fBYRtPtAlC', 'fBYRtPtAlC')",user_7@example.com,John,Smith
"('fOSjdLnNP3', 'fjM66woroy')",user_9@example.com,Yadira,Irving
"('uxz2jFwr5I', 'fQFLNRDae8')",user_1@example.com,Vella,Lynam
"('zSbmdNiSHH', 'fOSjdLnNP3')",user_4@example.com,Qiana,Walk
"('fjM66woroy', 'uxz2jFwr5I')",user_0@example.com,Benito,Festa
"('oh4mHXh8zN', 'oi6IhEzu9R')",user_3@example.com,Leatrice,Oquinn
"('gXWj37JC5d', '4dBdXURAz3')",user_8@example.com,Jacques,Cuellar
"('4dBdXURAz3', 'gXWj37JC5d')",user_6@example.com,Shaun,Kreiger
